"codigoActivo","activo","uriEmpLobby","codigoEmpLobby","empresaLobby","codigoAudiencia","codigoRepresentado","representado","giroRepresentado"
"2562691d330d2981e2fbbed384527b33","Christian Marcelo Sfeir Nazar","http://datos.infolobby.cl/infolobby/entidad/766096387r","766096387r","Servicios Amazon Web Services Chile Ltda.","ah0044290621","2562691d330d2981e2fbbed384527b33","Christian Marcelo Sfeir Nazar",
"a82599a144e226ab2cbf6fd5677cbd9e","Raul Luis Castro Ruiz","http://datos.infolobby.cl/infolobby/entidad/609100001r","609100001r","Museo de Arte Contemporàneo","as0044253291","a82599a144e226ab2cbf6fd5677cbd9e","Raul Luis Castro Ruiz",
"b082b5db6aff34c01696ccf936baa10b","Maria Elena Prieto Molina","http://datos.infolobby.cl/infolobby/entidad/762967049r","762967049r","Laboratorio Bamberg","ao0054323571","07ff9f7d3c910be23eea9e5616e92f09","Laboratorio Bamberg LTDA. No informado",
"042c2ef47b23dbeb5c9fbda9534b3fbb","Gregorio Binda","http://datos.infolobby.cl/infolobby/entidad/965450408r","965450408r","Productos del Mar Ventisqueros","ad0224283351","042c2ef47b23dbeb5c9fbda9534b3fbb","Gregorio Binda",
"068ebdd442ea08999e288790dad2163c","Carlos esteban Salas Carmona","http://datos.infolobby.cl/infolobby/entidad/969675501r","969675501r","Análisis Ambientales S.A.","aw0034269321","068ebdd442ea08999e288790dad2163c","Carlos esteban Salas Carmona",
"068ebdd442ea08999e288790dad2163c","Carlos esteban Salas Carmona","http://datos.infolobby.cl/infolobby/entidad/969675501r","969675501r","Análisis Ambientales S.A.","aw0034269331","068ebdd442ea08999e288790dad2163c","Carlos esteban Salas Carmona",
"22b71e18956df04c87f788c8ec0db0c2","Omar Molina Ibarra","http://datos.infolobby.cl/infolobby/entidad/691601005r","691601005r","MUNICIPALIDAD DE ARAUCO","am0014282871","22b71e18956df04c87f788c8ec0db0c2","Omar Molina Ibarra",
"39b55820297dc43d3d1829e5e547980a","MARIA CAROLINA ZÀRATE GENESTIER","http://datos.infolobby.cl/infolobby/entidad/81458500kr","81458500kr","CÁMARA CHILENA DE LA CONSTRUCCIÓN A.G.","ap0014231031","39b55820297dc43d3d1829e5e547980a","MARIA CAROLINA ZÀRATE GENESTIER",
"39b55820297dc43d3d1829e5e547980a","MARIA CAROLINA ZÀRATE GENESTIER","http://datos.infolobby.cl/infolobby/entidad/81458500kr","81458500kr","CÁMARA CHILENA DE LA CONSTRUCCIÓN A.G.","ap0014232881","39b55820297dc43d3d1829e5e547980a","MARIA CAROLINA ZÀRATE GENESTIER",
"39b55820297dc43d3d1829e5e547980a","MARIA CAROLINA ZÀRATE GENESTIER","http://datos.infolobby.cl/infolobby/entidad/81458500kr","81458500kr","CÁMARA CHILENA DE LA CONSTRUCCIÓN A.G.","ap0014236841","39b55820297dc43d3d1829e5e547980a","MARIA CAROLINA ZÀRATE GENESTIER",
"39b55820297dc43d3d1829e5e547980a","MARIA CAROLINA ZÀRATE GENESTIER","http://datos.infolobby.cl/infolobby/entidad/81458500kr","81458500kr","CÁMARA CHILENA DE LA CONSTRUCCIÓN A.G.","ap0084236121","39b55820297dc43d3d1829e5e547980a","MARIA CAROLINA ZÀRATE GENESTIER",
"39b55820297dc43d3d1829e5e547980a","MARIA CAROLINA ZÀRATE GENESTIER","http://datos.infolobby.cl/infolobby/entidad/81458500kr","81458500kr","CÁMARA CHILENA DE LA CONSTRUCCIÓN A.G.","ap0084236131","39b55820297dc43d3d1829e5e547980a","MARIA CAROLINA ZÀRATE GENESTIER",
"39b55820297dc43d3d1829e5e547980a","MARIA CAROLINA ZÀRATE GENESTIER","http://datos.infolobby.cl/infolobby/entidad/81458500kr","81458500kr","CÁMARA CHILENA DE LA CONSTRUCCIÓN A.G.","ar0014236581","39b55820297dc43d3d1829e5e547980a","MARIA CAROLINA ZÀRATE GENESTIER",
"469dac3870e51e0b9ab0cb895ad5bc1d","Grimilda Bruna","http://datos.infolobby.cl/infolobby/entidad/650382749r","650382749r","Ajunji Nacional","aj0144242841","469dac3870e51e0b9ab0cb895ad5bc1d","Grimilda Bruna",
"65af22dbaa33ee200b9a91849dd6195c","Alejandro Javier Floras Guerraty","http://datos.infolobby.cl/infolobby/entidad/937110006r","937110006r","CÍA PESQUERA CAMANCHACA","aw0024270121","65af22dbaa33ee200b9a91849dd6195c","Alejandro Javier Floras Guerraty",
