"codigoActivo","activo","uriEmpLobby","codigoEmpLobby","empresaLobby","codigoAudiencia","codigoRepresentado","representado","giroRepresentado"
"f3f9cee5906baaab67286d1b3cc370de","Irene Garrido","http://datos.infolobby.cl/infolobby/entidad/999999999p","999999999p","LES CONTROL DE TRAFICO AEREO","nr003331","99999999p","Albatros Airlines","Aerolinea"
"f6c9ea82f914b26b6f22ef9fea490889","Rodrigo Robledo","http://datos.infolobby.cl/infolobby/entidad/999999999p","999999999p","LES CONTROL DE TRAFICO AEREO","nr003331","99999999p","Albatros Airlines","Aerolinea"
"8f8b1c306b4b03f7bf6629e276edbde4","José María Abad","http://datos.infolobby.cl/infolobby/entidad/999999999p","999999999p","LES CONTROL DE TRAFICO AEREO","nr003331","99999999p","Albatros Airlines","Aerolinea"
"b92d04aea291143af85e9c5464c8a978","Javier Orgaz Fernández","http://datos.infolobby.cl/infolobby/entidad/999999999p","999999999p","LES CONTROL DE TRAFICO AEREO","nr003331","99999999p","Albatros Airlines","Aerolinea"
"aaa6061297228241c72ba6514cde154f","Gonzalo Rodríguez Díaz","http://datos.infolobby.cl/infolobby/entidad/999999999p","999999999p","LES CONTROL DE TRAFICO AEREO","nr003331",,,
"6900be94700a67092ce7fa5e02af30ae","Alberto Fernández López",,,,"ak0012451","6900be94700a67092ce7fa5e02af30ae","Alberto Fernández López",
"dfafdcb6cb43aa4560c4ba1fdde8a1b6","esteban larrain",,,,"av0014571","dfafdcb6cb43aa4560c4ba1fdde8a1b6","esteban larrain",
"eca4346ca64b21def63939c64a73a0c5","Eugenio San Ramón",,,,"ak0012451","eca4346ca64b21def63939c64a73a0c5","Eugenio San Ramón",
"6e1743094c30f31dfd1ead1e3765998d","Priscila Aedo Burgos",,,,"ap0012781","1794300c75f63100764b45b602bbb7e1","Comité de Vivienda Cruce Norte",""
"d759b7c05d6c16b519632322bb28233a","Irene del Carmen Ruiz Ceballos",,,,"ap0012781","4b7dbb8368374077e059a88219243a69","COmité de Vivienda Pilmaiquen",""
"5eb4e7a98159596e551be9e56b67b367","Carlos Pino San Martín",,,,"ap0012781","4ba3fa1fef85caf60cc9a9cd1e73ede9","Fundación Un Techo para Chile",""
"e26ee7cdce98c3cd02d036a34f0f9ab7","Luis Alfonso González Riquelme",,,,"ap0012781","5d2c350035b5424ca10975cd4bf74419","Presidenta Comité de Vivienda Cerro Alto - comuna de Los Álamos",""
"3a7970ddb32a158882c9b0c0537add23","Rosa Elvira Vegas Ruminot",,,,"ap0012781","824674d74360c9670c907f87d51fc38c","Comité de Vivienda Pilmaiquen",""
"b214f53b8213490f6cdd7cbda363654d","José Chandia Ruiz",,,,"ap0012781","8fe9e25e976136f89ee66184b6d4b9d6","Comité de Vivienda Sector 2 Las  minas colico Norte.",""
"353a431c9a5bdf5e31605c330bda30b5","Margarita Palma Bizama",,,,"ap0012781","ca94885c6de07fbc758205b78e62855c","Comité de Vivienda El Castaño",""
"d7c88e63d75fb1005e26c7b7588a46ed","Edita del Carmen Rucci Sanhueza",,,,"ap0012781","ea7176e78b4fc7b474aead16809dddb1","Comité de Viviena Cruce Norte",""
"8634c33d8b36549824a8f8b459cfa398","Luis Salgado Vallejos",,,,"ap0012781","feb453b57f989ad8b25e1310e1cad824","Comité de Vivienda El Castaño comuna de Curanilahue / Vicepresidente",""
"2f1e24a7199cc54c665d85ca74e4fd04","Francisco Javier Díaz Comas",,,,"nr003331",,,
"489b5af670f378ac95240cfab53793bd","HERNAN MLADINIC","http://datos.infolobby.cl/infolobby/entidad/590668907r","590668907r","empresas verdes llc chile","au0021451","489b5af670f378ac95240cfab53793bd","HERNAN MLADINIC",
"8c8f6105c51d4b96964337c611cd0109","Bárbara Negrón","http://datos.infolobby.cl/infolobby/entidad/650817982r","650817982r","Unión Nacional de Artistas A.G.","al0024481","8c8f6105c51d4b96964337c611cd0109","Bárbara Negrón",
"a9010876c0285c5401734b3a9f5da72a","Rodrigo Alejandro Castillo Murillo","http://datos.infolobby.cl/infolobby/entidad/700229203r","700229203r","Asociación de Empresas Eléctricas A.G / Empresas Eléctricas A.G","au0024181","a9010876c0285c5401734b3a9f5da72a","Rodrigo Alejandro Castillo Murillo",
"d93fdcb7cb06592330be52e23d01c075","MauricioAndrés RodríguezKogan","http://datos.infolobby.cl/infolobby/entidad/760936146r","760936146r","RUMBO CIERTO COMUNICACIONES SPA","nr00832015991","a9590f9373b25bcaf308d511bf7c28fb","Diego  Peralta Valenzuela",
"b6d71fc342ae20d8e09276f50d0a5bc2","David Igal Noe Scheinwald","http://datos.infolobby.cl/infolobby/entidad/765554004r","765554004r","Transelec S.A.","aw0025301","b6d71fc342ae20d8e09276f50d0a5bc2","David Igal Noe Scheinwald",
"c5aeb6017ccd60882182e0a5281f6890","Martín Santa María","http://datos.infolobby.cl/infolobby/entidad/796427701r","796427701r","Guerrero Olivos","am0013131","c5aeb6017ccd60882182e0a5281f6890","Martín Santa María",
